game_id,team1,team2,team_1_win
748254,"[32.9, 0.23470000000000005, 4.5, 2.0, 8.5, 1.3, 14.1, 0.30279999999999996, 0.6813000000000001, 5.1, 5.2, 0.37850000000000006, 0.5, 8.1, 0.5, 32.5, 2.5, 1.5, 2.3, 4.301, 7.0, 0.7, 8.8, 136.1, 0.26630000000000004, 136.1, 2.6, 2.7, 1.2, 8.7, 91.2, 0.1, 0.6]","[33.4, 0.2262, 3.4, 2.1, 8.4, 1.1, 15.7, 0.30369999999999997, 0.7020999999999998, 4.0, 4.0, 0.3984000000000001, 0.5, 9.7, 0.2, 33.2, 2.7, 1.2, 3.9, 3.9449999999999994, 8.5, 1.0, 8.7, 144.7, 0.3095, 144.7, 4.1, 4.1, 1.0, 7.8, 94.0, 0.1, 0.8]",0
748257,"[35.3, 0.24529999999999993, 3.2, 1.7, 8.9, 1.2, 15.1, 0.3189, 0.6962999999999999, 4.1, 4.6, 0.3774, 0.4, 8.0, 0.3, 35.1, 3.5, 1.5, 4.7, 3.6080000000000005, 9.5, 1.4, 8.82, 146.3, 0.33710000000000007, 146.3, 4.6, 4.8, 0.5, 10.0, 95.2, 0.0, 0.6]","[32.1, 0.2589, 4.2, 1.6, 8.1, 2.1, 13.5, 0.35039999999999993, 0.873, 4.4, 4.7, 0.5226, 0.9, 8.7, 0.1, 33.1, 2.7, 1.0, 2.6, 2.018, 7.4, 0.8, 8.709999999999999, 139.7, 0.2791, 139.7, 2.8, 2.9, 1.1, 9.5, 91.6, 0.1, 0.9]",0
748259,"[31.2, 0.23879999999999996, 2.1, 1.1, 6.4, 1.6, 10.9, 0.31720000000000004, 0.7251999999999998, 4.3, 4.6, 0.40800000000000003, 0.4, 10.6, 0.0, 33.0, 3.4, 0.6, 3.1, 4.294, 7.2, 0.9, 8.7, 155.4, 0.3083, 155.4, 3.3, 3.5, 1.3, 10.0, 96.8, 0.2, 0.8]","[32.6, 0.24970000000000003, 4.1, 2.0, 7.3, 0.5, 16.0, 0.3254, 0.7422000000000001, 3.5, 3.6, 0.4168, 0.6, 8.1, 0.1, 35.5, 3.1, 3.0, 5.1, 4.763, 10.5, 1.5, 8.8, 144.4, 0.34839999999999993, 144.4, 5.5, 5.9, 0.4, 7.0, 92.7, 0.4, 0.0]",0
748252,"[33.0, 0.2501, 2.7, 1.9, 8.1, 0.7, 14.0, 0.3134, 0.6948999999999999, 3.7, 3.8, 0.38150000000000006, 1.1, 7.2, 0.0, 34.6, 4.8, 2.4, 4.4, 3.937, 9.1, 0.9, 8.7, 164.3, 0.3528, 164.3, 5.2, 5.5, 1.8, 8.4, 100.0, 0.5, 0.0]","[35.5, 0.2475, 3.9, 2.0, 9.7, 2.1, 14.8, 0.3258, 0.7398, 6.4, 6.6, 0.41400000000000003, 1.7, 9.9, 0.4, 34.2, 4.5, 2.2, 6.4, 4.772, 9.9, 1.4, 8.7, 155.4, 0.3736, 155.4, 6.5, 6.6, 1.0, 8.8, 97.0, 0.0, 0.2]",0
748251,"[31.9, 0.22349999999999998, 2.8, 1.4, 7.0, 0.9, 12.6, 0.2986, 0.6697000000000002, 3.3, 3.5, 0.37110000000000004, 0.9, 10.1, 0.1, 32.6, 4.0, 2.0, 4.1, 5.502000000000001, 7.8, 1.0, 8.6, 149.8, 0.3257, 149.8, 3.7, 4.5, 0.3, 8.8, 95.3, 0.1, 0.3]","[34.5, 0.24860000000000002, 2.3, 2.3, 8.9, 1.8, 14.1, 0.3135, 0.7175999999999999, 4.3, 4.6, 0.4041, 0.9, 10.4, 0.1, 35.9, 4.4, 1.7, 5.7, 5.079, 10.7, 1.4, 9.0, 168.4, 0.3792, 168.4, 5.4, 5.8, 0.5, 9.1, 105.6, 0.1, 0.0]",0
748253,"[30.8, 0.23729999999999998, 3.9, 0.9, 4.6, 1.0, 13.0, 0.314, 0.7003999999999999, 1.9, 1.9, 0.38639999999999997, 0.4, 8.9, 0.0, 33.4, 1.9, 1.5, 3.3, 4.044, 7.7, 1.0, 8.91, 139.2, 0.27830000000000005, 139.2, 3.8, 4.0, 0.4, 8.0, 93.2, 0.1, 0.0]","[33.3, 0.25839999999999996, 4.1, 1.6, 8.2, 1.2, 15.6, 0.3395, 0.7670000000000001, 5.0, 5.1, 0.42749999999999994, 1.1, 8.3, 0.3, 32.7, 3.9, 2.0, 3.3, 3.7659999999999996, 7.2, 1.1, 8.709999999999999, 147.3, 0.30219999999999997, 147.3, 3.6, 3.9, 0.7, 9.5, 90.5, 0.2, 1.0]",0
748247,"[33.0, 0.23679999999999998, 2.1, 0.9, 7.9, 1.2, 11.3, 0.29379999999999995, 0.686, 3.7, 3.8, 0.3922, 0.6, 9.4, 0.3, 32.3, 4.2, 1.4, 4.9, 5.105, 7.8, 1.2, 8.5, 142.3, 0.33280000000000004, 142.3, 5.2, 5.3, 0.5, 8.4, 87.1, 0.4, 0.2]","[34.7, 0.2088, 3.9, 1.3, 8.3, 1.9, 14.7, 0.30870000000000003, 0.6979000000000001, 5.5, 5.8, 0.3892, 0.7, 8.6, 0.2, 34.8, 3.7, 1.6, 4.5, 4.691000000000001, 9.0, 1.0, 9.2, 139.1, 0.3265, 139.1, 4.7, 4.7, 1.0, 7.4, 89.9, 0.4, 0.6]",1
748248,"[31.6, 0.22779999999999995, 1.9, 0.9, 5.7, 1.0, 12.0, 0.27869999999999995, 0.6483, 1.9, 1.9, 0.36960000000000004, 0.4, 10.1, 0.0, 31.7, 4.3, 1.6, 3.6, 5.318, 6.9, 0.6, 8.8, 157.1, 0.30710000000000004, 157.1, 4.0, 4.1, 1.1, 7.4, 94.4, 0.4, 0.3]","[32.5, 0.24309999999999996, 3.6, 1.2, 7.1, 1.0, 13.8, 0.32230000000000003, 0.737, 3.4, 3.6, 0.4147, 0.5, 9.7, 0.1, 32.7, 3.5, 1.1, 4.2, 3.7540000000000004, 7.4, 1.5, 8.7, 145.4, 0.302, 145.4, 4.2, 4.2, 0.2, 8.6, 93.3, 0.2, 0.0]",1
748250,"[34.4, 0.23680000000000004, 3.1, 1.5, 9.0, 0.7, 15.8, 0.2905, 0.6434, 3.8, 3.8, 0.3529, 1.6, 9.4, 0.2, 33.1, 3.7, 1.4, 3.5, 4.161, 7.3, 1.4, 9.01, 140.3, 0.2972, 140.3, 3.9, 4.3, 0.7, 8.8, 89.0, 0.2, 0.6]","[34.5, 0.24860000000000002, 2.3, 2.3, 8.9, 1.8, 14.1, 0.3135, 0.7175999999999999, 4.3, 4.6, 0.4041, 0.9, 10.4, 0.1, 35.9, 4.4, 1.7, 5.7, 5.079, 10.7, 1.4, 9.0, 168.4, 0.3792, 168.4, 5.4, 5.8, 0.5, 9.1, 105.6, 0.1, 0.0]",1
748249,"[33.4, 0.2454, 2.3, 1.3, 8.2, 1.1, 13.6, 0.31710000000000005, 0.7441000000000001, 3.4, 3.9, 0.42699999999999994, 0.1, 9.4, 0.1, 33.0, 4.7, 1.2, 4.1, 4.66, 7.8, 1.5, 8.72, 156.0, 0.33910000000000007, 156.0, 4.3, 4.6, 0.4, 7.8, 93.7, 0.2, 0.0]","[33.3, 0.23830000000000004, 3.2, 1.3, 8.3, 1.1, 12.8, 0.3299, 0.7287000000000001, 4.8, 4.9, 0.39879999999999993, 0.3, 8.0, 0.1, 33.0, 3.0, 1.3, 4.3, 4.741, 7.4, 1.9, 8.7, 128.1, 0.2878, 128.1, 4.3, 4.3, 0.7, 8.9, 82.8, 0.1, 0.5]",1
